P00352,O60356
O95816,O15047
O00459,Q9UBK5
O43242,Q15077
Q6DKK2,O60676
O14786,Q9H089
Q15796,O43187
Q9Y2Q9,P98179
Q8NEN9,Q9NQ34
Q7Z699,Q70EL1
P50991,Q9Y2I8
P09486,P12107
Q9BRX9,Q8TBC3
P02511,P01100
Q9UJY1,Q2TAL8
Q16637,Q3SYF9
Q9NQ84,Q6ZMB5
Q07954,Q03405
O75528,P01036
P26651,Q2M1P5
O14965,Q63HK3
P09874,P17947
P49116,Q15723
P33681,P50748
P05023,P49821
Q9NVH1,Q8ND24
O14862,Q8IV63
Q9P0W8,Q9BRQ3
P07910,O60832
P39023,A4D1E9
P41002,Q01469
P22735,Q9NPD8
P19174,P23677
P67809,P0C0S8
P60411,Q5T753
Q14919,Q99877
Q96HA8,O15049
Q9HCE1,Q96QK1
P14406,Q8TF08
P40222,Q5T8I9
Q96S52,Q9NS66
Q15121,Q14241
Q9UIR0,Q9UH99
Q96S53,Q15569
Q12834,P48643
P25490,O76024
P02489,Q6P2E9
P47929,Q9ULE6
Q9HD42,Q9UN37
Q9NPY3,O43929
P52815,Q7Z7F7
P07900,Q6ZRV2
P10144,P78527
Q13573,P50990
Q8NDI1,Q86X19
O60941,Q6ZU80
Q9Y5M8,Q8NEN9
Q9Y5Z9,Q96RQ1
Q9BXS4,P26572
P38936,O96020
Q9H0G5,P09912
Q9H0W5,P05388
Q8N5K1,Q9UK00
Q8TDB4,Q9UIQ6
P61513,Q96AG4
P62079,Q14145
Q8IUZ5,Q9NZS9
P29034,Q15678
Q8IUC1,P56470
Q9NZN4,Q6IN85
Q96GM5,Q969G2
Q969R5,Q8N5R6
Q9NQW6,P02545
Q96HY6,Q6PHW0
Q6N021,Q8WYQ9
Q96CB8,Q6P9B9
Q8WVZ9,Q8NI27
P10599,P09622
O14983,Q6A163
P61019,Q3V6T2
Q8IX12,Q96EA4
P09429,P84103
O43353,P19438
Q9H4F8,Q9BQ08
O75528,Q9Y4X4
Q9HC73,P48645
Q9NRI5,Q3B7T1
P16403,Q8TBF4
P51398,O75319
Q15906,Q93079
P0CG37,Q6ZRP7
P51668,O43164
Q9ULD4,Q7Z5K2
P42858,P67775
Q15323,Q567U6
O14976,P14384
Q96AG4,O60285
P46940,P00441
Q6UXH1,P03951
P50914,Q9NUL3
Q9NZR1,O75366
P04637,O95251
P49407,Q86V81
Q15418,O14654
Q14643,P35219
O43567,P20700
Q8WUA2,Q9NYA4
P63165,Q96ST3
Q03519,P98174
O94927,A1L190
O15055,P37802
P31689,Q14999
O43889,Q9UEU0
Q92769,Q9BQ52
Q13555,Q5SW24
P27824,Q8IVF4
Q7Z417,Q8TEC5
Q92845,Q9BUQ8
Q8IX18,Q96L73
Q14643,Q9C0E8
P62807,Q6ZRQ5
P08637,P32189
P49458,P09132
O00429,Q9NZC7
P49917,P60174
Q9Y639,Q7Z3U7
O14578,Q8NBI5
P01116,Q9P2F8
Q9BVK2,Q9GZM5
O43865,Q07021
P35613,Q13794
Q14257,P13051
Q99496,O14734
P49792,P49427
Q13435,Q9Y2T7
Q96HE8,Q6UX40
P62424,Q8NCD3
Q3ZCM7,Q8WXG6
Q13620,Q9NRG4
O00391,O43169
P82675,A0AV96
Q99996,Q9UNP9
P55795,Q9H0R8
Q9UJU6,Q96AP0
O15042,Q9UJV8
P16403,Q9H7N4
P60953,A6NKD9
O43795,P38606
P36897,P62987
P49336,P15927
Q9NRD1,Q8NCR0
O00220,Q15669
Q9H307,Q9Y3X0
Q9H4M7,Q9BW62
Q9H967,Q08945
O95047,P30622
Q9BSJ5,Q9NWT8
Q92769,P78347
Q3LI67,O75864
Q12905,Q9Y6M1
Q9BXW9,P36957
P11388,P51532
O14792,P28325
Q8WVZ9,P29144
P30101,P55060
Q9NYF8,P56715
Q09161,Q6P1Q0
Q9H3Q1,Q9UH03
O95835,Q9HC77
P23396,O95363
P56945,Q7Z7C8
Q6P2Q9,Q07020
Q96EL2,Q13263
Q8TB96,Q9HAW7
Q8NFZ5,Q16637
Q02880,O94844
O75787,P18510
Q96N67,Q96CW5
Q9BXP5,Q92817
Q6IQ23,O75695
Q7Z7A4,Q9H4B7
P16581,P06731
Q13620,O43390
Q69YN4,Q5H9R7
A6NLJ0,Q9NYQ6
O43474,P62847
P50914,Q9NUQ6
Q9ULD0,P0C7Q2
Q03135,P25098
Q9UNP9,P05455
Q99615,Q86TG7
Q00987,O95831
O43143,Q13310
Q24JP5,Q6GMV2
O95900,Q96RR1
P13473,P55212
O75530,Q8N1F7
P58557,P02144
Q9UNN5,P54725
Q96LA8,Q8IZV2
O96028,O75569
P54274,Q9UNF0
A6NEM1,Q64LD2
P17174,P02679
P49840,Q9NU22
Q96MT8,Q6P2H3
P60709,P35580
Q4VCS5,P37235
P62745,P29966
Q7Z6V5,Q96EY9
Q9P015,Q13595
O15400,Q9Y4E6
Q9H4M7,Q9Y3I0
P05161,Q14653
P49768,Q9NVX7
P00519,P01024
P42166,P27105
P45983,P50991
P37840,P46821
Q13148,P05412
Q04917,Q8WWL2
O15218,Q9UQ90
Q15029,P62269
Q07020,P62906
Q8TB72,Q9BQQ7
Q9Y265,P21281
Q9UI36,P27707
P62258,O00257
P62805,P54274
P61964,P61006
O43172,Q86VP6
P43246,P13693
Q96HA1,P55345
Q13642,P50461
P05412,P21281
Q9NV92,P43088
P48729,P05387
Q9BUN8,P37268
P36897,Q9UKG1
Q9NVU7,Q14512
Q8IWI9,P35680
P21796,P51149
O75031,Q13835
Q9BPX1,Q9BTZ2
P33778,P40937
O00148,Q96NX9
P13056,Q15233
Q92731,Q13796
P02794,P18428
P31943,P51965
P26373,Q9H8H2
Q07065,Q9NZ43
P49023,A7MCY6
P00533,P05067
Q13043,Q96GD4
O43752,Q9NZ52
P04637,Q13043
Q96EP0,Q96LR5
Q9H4M7,Q96PV6
P14921,Q5VUB5
A6NCF5,Q9H4B7
P84098,Q9BYC9
P04049,P10275
Q9P2P5,P49720
P14625,P35610
P02751,O00161
P43403,Q71U36
P51151,Q9ULE6
Q9UK22,Q9H4F1
Q92598,P20749
P51151,Q9P2W9
P49368,Q14999
P78317,P13010
Q96SQ5,P59942
P12931,P33993
P26371,Q9P0T4
Q9Y295,O60307
Q9HAV7,Q9UDY4
Q13489,P46013
O75386,Q9H857
Q8WX92,P35030
P54105,Q969L4
P02768,Q9BZS1
P18433,P49757
P15884,Q8TDY4
P01106,P33992
Q7KZI7,P98161
P24385,P17098
Q9NQW6,O94973
P30876,Q8N6T7
O75190,Q16665
Q9P0L0,Q9NS23
Q9GZR7,Q9UNX3
P84095,O00165
Q8N9T8,Q14684
P54764,Q5VZ66
Q96CF2,O14646
P62424,Q92901
P43307,Q14643
O94992,P35606
Q9UFF9,P78543
Q9GZT3,Q8TCS8
O95429,P10415
Q9H6Z9,Q96NZ1
Q71U36,Q8N386
Q8NFW8,P14314
Q15020,Q9Y333
Q00013,P49841
P35222,Q06124
O15379,P10276
P10636,Q02878
Q9NQW6,P05187
P57078,P26639
P68366,Q8TF05
Q8IWR0,Q9NRA8
P04626,P25686
P37198,O60282
Q04724,P54259
Q14164,P14373
P36873,P61513
Q9HCM9,Q96HQ0
P01112,Q9UHC1
P17812,P22314
Q15059,O75391
P30530,P11940
Q96SZ6,P43243
Q15717,Q96JY0
Q9H9V9,P13473
P35613,P49768
P04626,Q8N111
O43613,O43612
Q9NZC7,Q8TC07
Q96G01,P05166
Q9UBM7,O14656
Q86TS9,Q9H845
Q92552,P40926
Q9H2U1,Q13951
P27708,Q9H0R8
P12931,Q9GZT9
P15336,P43699
Q9P2S5,Q9NTZ6
P38398,Q15459
Q05586,O75916
P31751,P41279
Q96PU8,Q6P1X6
P25786,P28074
Q14142,P28074
P21860,Q9UBS4
P19388,P52435
Q96HY6,Q14232
P14866,P30046
Q96HY7,P43897
P35579,Q9NSY1
Q9NQX6,Q9H3C7
Q16778,Q92541
O00182,P62834
O14521,Q96PD4
P00167,P05181
P18206,Q13277
P61764,Q86UE4
P48730,Q16526
A4D1S0,O95271
Q9UGL9,P60328
O14786,Q9H0X9
O00264,Q15386
Q86UY6,Q96R06
O95994,Q9NP73
P26715,Q01453
Q01082,Q9HCS5
P29034,Q92613
P08311,Q9BQT9
Q9BWH2,Q9UHD4
Q15323,Q9NQ50
Q9NVR5,P31146
Q9UKW4,O43251
P03950,P19883
P63211,P84996
O14802,Q5VT52
P17081,Q7Z2W4
P12956,Q9NYV4
Q92934,P50402
O14763,Q15836
P49916,Q8WXI8
P50416,Q9P0I2
P55085,Q15032
Q9NXU5,Q9NRX5
P61981,Q9H427
Q9NR46,Q8N448
Q14289,Q13191
Q86X19,P22059
P10124,P10147
P46781,P82933
P54727,Q9NR45
Q9BTE7,Q9P0S3
Q96A25,P42892
Q01968,Q92805
P05067,P17050
Q96KQ4,O14641
P63000,Q9NY35
Q86U06,Q9UPW8
P23246,O14777
P20042,P43146
P08069,Q9NRF2
Q99459,Q9H0R8
P63211,Q8NFZ5
Q7Z2W4,Q9Y2T7
Q9UPY8,O75410
Q15323,O95154
B3EWG5,Q9P0S2
P60709,Q05682
P60468,Q15042
Q9UDW1,O14548
Q69YN4,Q9UHL4
Q96GD0,Q96NR8
Q9UQ80,P83731
P40939,Q16790
Q03135,P27694
Q8WY36,Q13247
Q13347,P00441
Q00839,Q9Y6X3
P01112,Q9BQA1
Q9P2E9,Q93079
P14373,Q16527
Q86WK6,P32249
Q6PH81,Q9H1A4
Q3SY00,Q3BBV0
O76015,P17024
Q8IZQ1,P47775
Q14318,Q9H3Z4
Q9NPI1,Q53H12
Q9Y463,O43819
Q8TDD1,Q96DU9
P49023,Q0PNE2
Q12951,P26640
P04629,P50995
P21462,Q9Y6D5
Q15910,Q12824
Q4G0J3,O95218
P0DPH7,Q8IX03
Q15910,Q9H0V9
Q8NFF5,Q9NRC1
Q14498,Q13838
A6NI73,Q9UIW2
Q12972,Q92793
Q99853,P60410
Q71U36,Q8NEG4
P05412,Q96GQ7
Q96EA4,P61626
Q8IUR7,Q8NHJ6
O60885,Q9P287
Q9NPF5,Q99612
P27348,Q676U5
Q13137,Q14145
Q8TAE8,Q8IWL3
Q8NHQ1,Q8TDW5
P12956,Q14839
Q13144,Q92837
Q96HA8,Q9BPX1
O95817,Q5GLZ8
P62899,P28715
P09382,P56199
P60709,Q9BVN2
Q6ZMZ3,Q9UM82
O95816,P82094
P22681,Q96B02
P25205,Q9BTE3
Q9NQB0,O75897
Q13451,Q13557
Q9Y3D3,P40926
Q9H6Z9,P40222
Q96QE5,O75161
P52815,Q96DV4
Q6RW13,Q9HCJ2
P61956,P98082
P16220,Q9Y4E5
P62993,O95373
Q9UNE7,Q9UMS4
P62837,Q12899
Q5TA81,Q701N4
P50750,Q96PK6
Q99848,Q9GZL7
Q15773,Q9BXA6
Q15025,Q9NYQ3
Q9P0P0,Q8NET8
O60216,P30740
Q04864,P38919
Q15628,Q86YL7
P28799,O15540
Q9NZN5,P08069
Q13127,P62847
Q96NT0,Q6NUS6
O14526,Q15691
P62937,Q9HCE5
Q15717,Q96JP5
P36873,Q9NR20
Q8TDR0,Q9HB71
P14678,Q8N9N5
P04271,Q6WKZ4
P29034,Q7Z2T5
P62136,Q04917
O14965,O43521
P14618,P04278
P01033,Q8NBN3
P62917,Q9BQ04
O14802,Q2NL82
Q96EY7,Q01629
P82673,Q8WYQ3
O60716,P35222
P43897,Q8TB37
P43353,P60410
Q15392,Q9H313
P0C5Z0,Q9ULD5
P78329,Q9GZR5
Q96RG2,O43167
Q96MH2,O60563
Q9Y679,Q8ND94
Q13616,P28070
P30273,Q8TBB6
P14618,P04629
Q9C0C4,Q9P253
Q9Y6Y0,O95863
Q9H8V3,Q8N752
O15143,P48163
Q99547,P51532
P54652,Q6P5Z2
Q9H444,O15321
Q15717,Q9H902
Q9UN74,Q5RL73
Q96A22,Q9UPR0
O15075,Q6IQ23
O00468,Q9BYE4
P51148,O75052
Q5T0W9,P20338
Q7Z5P4,P50281
P07510,P60411
P46779,P57071
Q10713,O75629
Q92820,Q9Y4L1
P68366,Q6EMK4
Q4G0J3,Q00577
Q13017,Q5XPI4
A8MVW5,Q9UI95
P51784,Q9NVH0
Q15759,O15379
Q07021,Q7Z695
P04908,Q9NVP1
Q13547,Q9H9E3
O14578,Q1KMD3
P23443,P42261
P61353,Q02878
Q7L5Y9,O43464
Q6UX01,O15533
P49840,Q08050
P05386,P46779
Q9HBF4,Q9Y484
P19387,Q68E01
P08670,Q5T3J3
Q99547,Q13432
Q14814,Q9Y294
Q6IQ23,Q92485
Q15029,P43243
P37173,P09471
Q9ULD4,P51784
Q9UGL1,O95180
P0CG47,Q9NX08
P59768,P32246
O15218,Q96KP1
Q92769,Q9UKG1
O00308,O15226
Q9H9D4,Q96GD4
Q3ZCM7,O00425
Q9H444,Q96K19
Q5S007,Q8N7H5
Q96PU5,P45880
O60504,Q9H9H4
Q13573,P08579
Q16531,P09455
Q99569,Q08379
P50897,P39656
P56537,P20290
Q9UMR2,Q9UIL4
Q9UHB6,Q03135
Q99759,Q9BUF5
P04637,P40121
O15169,Q8NEL9
O75556,Q6B0K9
P12004,P60484
Q9BQG0,Q8WXX5
Q9NTW7,Q9Y5Q3
P15336,P62879
P60763,Q96F07
Q8TB24,P06241
P40818,Q9NR09
P05023,Q9H9B4
Q02241,Q9Y4E5
P30203,Q13740
Q96NL6,O75506
Q01628,Q9P265
Q96S59,O96006
Q8NH56,Q96I13
P47897,P57105
Q96GM5,O75376
Q9H4M7,Q14344
Q15058,Q6WCQ1
Q16543,Q9BYV2
Q13107,P30566
Q13200,P25789
P19174,O15056
P12004,Q5QJE6
P09651,P43490
O14543,Q13061
Q92820,Q9UH99
P35568,P54646
Q96FV9,O43818
P49753,Q9BX68
P05154,O00299
O43143,P42166
Q7Z4V0,O95363
Q92731,P62280
P04637,Q9UHD8
Q69YN4,Q15811
P06401,P51692
Q5JTH9,Q86VP6
P10275,Q9Y252
P51151,Q9H2H9
Q96DR8,Q9Y2K1
Q12933,Q8IY51
P57088,Q9BYF1
Q09472,Q10586
Q9Y2Q5,Q9NRK6
O14958,Q8N983
Q92879,O75674
P31943,Q9Y6Y1
O60248,O00425
P51451,P18859
Q05209,Q13308
Q9P2J5,O00330
O14578,P04004
P35637,Q9H0D6
O43524,Q9BXH1
Q96KC8,Q13586
Q9UHD2,Q96NL6
Q8N684,P15976
O00322,Q96AB3
P46087,Q99848
Q8WVV4,Q12841
O60296,Q9H0B6
P01106,Q96BD5
P54289,Q9H1C3
O15173,Q9NYP7
Q9HA82,Q04941
Q49AN0,P33992
Q15393,Q96EA4
Q9UMX0,P06213
Q14999,Q12931
P04792,P05771
Q8TDC0,Q96EQ8
Q9Y6H6,Q7Z6J6
Q12986,P01876
Q99496,Q9Y5B9
Q9UFG5,Q9UEU0
P13569,Q8WUY1
P60411,Q96NL3
P08590,P12829
Q9NYP7,Q9Y2K6
P53350,P30622
P26371,Q9H2X0
Q12906,P11441
Q92731,Q8TEM1
Q3LI76,Q5T6F2
P41220,P17252
Q13322,Q9NW13
Q6UX01,P45974
Q92731,Q9BVJ7
P02675,Q00005
Q15262,P98153
Q9UBS4,Q8TEB7
Q9C029,P29972
O43852,Q7Z5H3
O95235,Q9NQ39
Q9Y3D3,Q15050
Q9Y4P3,Q9NRC1
Q09472,P84022
Q9Y305,P40238
P38484,Q9BYC5
P47897,Q13422
P16591,P31946
Q9BRK5,O95258
P41002,P51610
P35568,P19784
Q93009,P49750
O15016,Q99707
Q06124,Q8NHJ6
Q09666,P52565
Q9UBN6,Q9BT40
Q01844,O14908
Q16629,O43896
P19525,Q9Y3U8
Q9H8H2,Q14512
P08397,Q9NR31
Q9Y282,Q96MV8
Q96SW2,Q96RS6
O60885,Q92743
Q15910,A6NK02
P40763,Q9BXM7
O60885,Q8NFW8
P82650,Q9Y4X4
O75911,Q9NQE9
P42695,Q14574
P48729,P11142
Q92552,Q9Y5P2
Q6VN20,Q9C0I4
O00303,Q13283
P61964,P58004
Q92731,O75475
Q7Z699,Q9NXL2
P68402,Q9Y294
O14893,Q9NWZ8
Q16543,P78406
P22087,Q14684
Q9Y463,Q9P2F8
P24666,O95551
P55196,Q7KZI7
Q13547,Q9P2K3
Q07020,Q16526
P13797,P61604
Q6P2Q9,O00487
P84095,Q9BQ39
Q66K64,O15255
P10114,Q8N122
Q9H4M7,P43246
P21281,Q9NXH9
Q8WUW1,Q9UPU7
Q15653,P52434
Q9H2G2,P13807
Q13011,Q96RQ3
O95985,Q12800
P46019,Q9Y689
Q7Z5B4,Q8N2M4
P20231,Q9UBV2
Q14457,P11234
Q9BPZ7,Q69YU3
P83105,Q9BRF8
Q9Y6K9,P62244
P07355,P04629
Q96EP0,P42677
O75323,O95140
P02649,Q96JB6
O14967,Q99965
Q92526,Q9HCS5
Q93050,O75348
Q9NZD8,P00492
P38646,O00221
P04271,Q8WV16
Q13228,Q969Q4
P60484,Q8IYR6
P04049,Q13362
Q69YN4,Q7KZ85
Q69YN4,P23219
Q96GX1,Q96FL8
P07900,P10809
Q71SY5,A1KXE4
Q96K80,Q03989
P43681,Q8WUY8
Q8TB96,Q9NSD9
Q99653,Q9P0N5
P07949,P05067
Q13895,Q12986
Q9Y2I6,P01591
P05388,Q7RTS1
Q99805,Q86UD3
Q00444,Q9BUL8
P62750,Q9ULW3
P13612,Q5JXB2
P08631,Q03405
Q86YH6,P14324
Q92611,Q9NYU2
P50991,Q9BPW8
Q06546,Q8NI08
Q99728,P35250
Q8TAA9,Q9HCM4
Q93062,Q86WG5
Q13547,Q9UM07
P52272,Q9BZE1
Q9UI36,Q15059
Q6L8Q7,P53609
Q8TBA6,P51684
P11177,P30519
Q01844,P35638
Q14192,P47755
Q13485,Q2NKX8
Q15058,Q9HCG8
P04637,Q8TDY2
P17252,P48507
P15884,P41134
P09038,P18827
Q8WWQ0,O15409
P36507,Q6PJI9
Q13501,Q14999
Q9NQB0,P86480
Q15654,P54646
P29317,Q5SGD2
Q9UBK5,Q15768
P56945,Q01968
P07858,Q96IK1
Q13042,Q8TCU4
Q9HCE1,O75683
Q9NR12,Q9Y4I1
P19784,O60341
P14625,A4D1B5
P37231,Q5T3J3
P00750,Q07065
P14866,O75095
Q13616,Q9BQ15
Q9Y3D9,P36776
Q9Y5Q9,Q9BZV1
P42858,Q9BTV4
O14980,Q9H1Y0
Q8WXK3,Q8TDS5
Q9NV66,Q9Y5G0
Q9BQ66,Q9NUY8
Q09028,P50897
P84095,Q9NQL2
Q14802,Q8N2M4
Q99459,Q8NE71
P22735,Q96RD9
Q8IX18,P09913
Q9C0C9,Q96A08
O95235,Q8IWA0
P24941,P17706
Q9UGL1,Q9UJU6
P05412,Q8NFW8
P78310,Q6WKZ4
Q14565,Q9GZT8
Q99873,P19338
P31930,P05166
P49336,O75717
Q5S007,P51991
P62877,P35869
O00144,Q9Y6F9
P18621,Q12986
P0CG47,Q14202
A5YKK6,O95696
P11177,Q99623
Q7L5N1,Q9BYV9
O95183,Q8TBE3
Q96G30,Q96AB3
Q9NQC7,Q5VT06
Q86VM9,O43572
Q15274,O15164
Q9NZR2,O95968
Q9Y3C5,P28062
Q00535,Q16623
P05067,P05109
Q5JR59,Q8TCX5
O14733,Q8IUD2
Q16643,Q9UNQ0
Q9NRD1,P08648
Q9BUH8,Q96SQ5
P15498,Q13148
P15374,Q5TFE4
Q8N488,O95352
P05067,Q9C026
Q6ZW31,Q8WXF0
P01100,Q8IWZ3
P04150,Q9HCM7
Q9UHD9,O95081
Q6UX01,Q99720
P14866,P50876
Q16666,Q9UJA5
Q9HC98,Q86T90
P08575,Q16539
Q9Y6X0,Q9NS26
O00255,Q15291
Q07021,P49821
O00541,Q6K0P9
Q6YHK3,O95968
Q5T6S3,Q9HD47
Q9GZR7,Q9NX58
Q69YN4,Q9ULH0
O15205,Q6VN20
Q9UBH0,Q969N2
Q99661,Q9Y388
Q04864,Q9UJK0
O95229,Q12934
Q07955,Q6ZW49
P02545,Q8N695
Q15717,Q9NQC7
Q9UKL0,P50454
Q6Q0C0,O00339
P01116,Q8ND76
Q09472,P83876
P06576,Q8N448
Q93063,Q53F39
Q9NNW5,Q6ZN55
O00308,P60842
O60885,O75717
Q9UBB9,O95551
Q6UXG8,Q8N5M9
Q9NRZ5,Q9UHP7
P17987,Q9BYE7
Q86VM9,Q96NC0
P54687,O95428
O76024,O14933
P27348,P84098
Q00987,Q8NCA9
O60885,Q9NXV6
O75717,Q9HCH3
Q9H3P7,Q9P2W7
P09619,Q5TB30
O75820,Q16623
Q9NX58,Q9NWT8
Q9NQT8,Q5TCZ1
Q15029,O14646
Q9H0C2,P47224
Q13077,Q15025
P18084,O75928
Q12905,Q9UBD5
P50222,Q8WVZ9
Q13043,P01591
P61964,P42166
P31273,Q3LI67
O75695,Q5T2D3
P01880,O43240
P62834,P11233
Q15058,Q02880
P16150,Q9H1A3
P41743,P57078
Q03518,Q99750
P61224,P52742
O95858,P13224
Q9H6I2,O15164
Q99081,Q86Y33
O75886,Q92932
Q7Z6Z7,P04181
Q07955,Q659C4
Q9BZZ5,Q9H1J1
Q15691,Q99661
P12814,Q9BYZ6
Q15388,P16401
Q9NR30,Q96MX3
P29353,O60341
Q9Y4P3,O75311
Q8IXB1,P14314
O15467,Q86UV5
Q9Y5Z9,Q9H2F3
Q9H4M7,Q92841
Q9NR96,P23511
Q68CP9,Q15306
Q8IU60,P20309
P21266,Q9NX02
Q13263,Q7Z3K3
Q7L2E3,Q96EY7
Q13287,Q9BT73
Q99832,P62847
Q9NQT4,Q12888
Q9Y6H6,Q9H3H3
Q9UJZ1,P10644
P08559,Q9P013
P51151,Q96S15
Q07960,Q9NX40
Q9HBD1,O00488
P27824,Q8WTV0
Q5JR59,Q63HK5
Q9BTV5,Q9ULC4
Q9Y6X6,Q9UNA1
P13647,Q2M2I5
Q13451,Q9HCK5
P53041,Q9H6Z9
P06748,Q96AG4
P06702,Q13418
Q9Y3E0,Q13488
Q8N766,P43487
Q8TCS8,Q00059
P25786,O95238
P05388,O15226
P42166,Q9NQB0
O43189,P51816
P50749,Q96LA8
P05388,Q96AG4
P15311,P52799
P15941,Q10472
Q9Y6K9,P67775
P05067,Q9NX02
P36873,P19387
P56945,Q8IY18
Q9Y3I1,O43251
Q69YN4,P18669
P68431,P83916
P03372,Q86US8
Q8IWZ3,P06703
Q15287,Q8IYF1
P17693,A2VDJ0
Q99952,Q8IXI2
Q92820,P49641
P04233,Q9UBS4
O95819,O94986
Q9NWD8,Q8N2H4
O75084,Q92997
P60763,O15020
P14866,Q9Y2E5
Q08379,Q8N0Z3
P43243,Q9Y3A4
Q9UJY1,P09493
Q13619,Q8WV16
Q969H0,O14874
Q9Y5U2,Q6DD88
Q9NPB6,P30048
O95994,Q96HA7
P51991,O14879
P54578,Q99986
P31689,P10606
O95071,Q9C0C7
P11441,P62316
P34897,Q8TC07
P31751,Q9H0H5
Q12972,Q8N8V2
Q13283,Q8TCG1
Q6NXT1,P51959
P08648,P13987
Q13671,Q15642
P05549,P61962
P46940,O95425
Q15646,P50991
Q14240,Q6ZNG0
P62491,O95721
Q15286,O75781
P46781,Q9BYD1
Q6ZMZ3,P51587
P07948,P29597
P02792,Q86V25
P10275,P24928
Q96PM5,P46777
P78371,P68366
Q96FN4,P36954
Q969Q0,Q86V97
O95994,P20042
Q9Y276,P10176
P15153,Q15758
Q13620,O60315
P62829,Q9NPG4
P55771,Q9H165
Q09472,Q13243
Q9NQQ7,Q8WW34
P61073,Q5C9Z4
O43318,Q14134
O14980,Q9HD67
P62068,Q9Y6N9
Q96KQ7,A8K8V0
O60341,O75362
Q15669,P62070
Q9P0L0,Q969N2
Q9UHV2,Q7Z401
Q8WZ42,O00468
P49411,Q6NT76
Q6PKG0,O43364
O00499,Q969T9
Q6P1M0,Q9NPI1
P50402,Q9NQ55
Q9Y679,Q9NWD8
Q6UX40,Q8N661
Q15843,Q96GX9
Q9Y6K9,Q9BXL7
Q13586,Q9H1X3
Q86UY6,Q8TEQ0
P50876,Q7Z4K8
Q13422,Q8N5D0
Q96CF2,P20671
Q8IUR7,Q99988
P62424,P18124
Q9UPQ8,Q8TBB6
Q5JX71,O95968
Q9Y478,A2RTX5
P54764,Q6DJT9
P27348,P02675
O43290,Q14241
P35900,Q6A162
P49821,Q96BP2
O60925,P59666
P63165,Q96ME1
Q9UKR5,P55055
P23458,P07332
Q96QR8,Q9BXS5
Q01650,Q9UQV4
Q13098,Q9Y5Q3
Q96BR9,Q8WYK0
P55196,Q5JR59
Q93009,Q9BZR8
Q6NYC1,Q8N9E0
Q14192,P13569
Q99808,P43119
Q96EA4,P14174
Q6NT52,A6NKQ9
P61353,P08708
Q969P5,P83111
O96017,Q9BQG0
Q9HBH0,Q92504
P13984,P52434
Q9Y316,Q7Z6J8
Q15910,Q92925
Q8TAD8,P18124
Q02763,P35590
P25490,Q13753
Q8NBQ5,A2VDJ0
Q8WXA8,O60704
Q9Y2R2,Q9HC21
A2A3N6,O60264
O43711,O15014
Q9HBD1,P22626
P01116,Q8IUC4
O43639,Q99704
O00178,Q9Y4F3
O15155,P61266
Q9Y680,Q7Z7M8
Q00535,P37231
P49411,P61020
P04637,Q13572
Q99715,Q9BXJ4
P62987,Q14498
O00264,Q9UKB3
Q8WWA0,Q96RE7
Q8N8B7,Q96C00
Q6UWN0,Q13421
Q13507,P54920
P01106,P40939
Q7Z7G8,Q9P2W7
P17174,Q6UXN9
O14983,Q6L9W6
P29317,Q86X19
Q96G97,Q9H158
P62745,P30837
P01106,Q8NAV1
Q9Y3S2,Q76FK4
P84157,Q9UN75
Q9NS69,Q9P0U1
P27918,Q8IUC1
P01275,O95169
O15198,Q03181
Q8WWY3,Q9BXW6
Q6ZN04,Q15032
Q6UX01,P49755
Q14258,Q9H0S4
P56545,Q16637
O94761,P28161
O75110,Q8TCT7
Q9NV66,Q96FV3
Q6NYC1,Q14137
Q1MX18,Q6PJ69
P05141,Q86TW2
P29034,O75688
Q9H7H0,Q86WC4
Q8NAC3,O14523
Q9NZI8,O60756
Q96DV4,Q8N5N7
P06748,Q9BR39
Q9NVI1,Q9GZR1
Q9H0W5,Q9H4E5
Q9Y3D9,Q04837
Q15910,P04198
P62829,P05386
Q96A22,P20020
P35613,P09958
O95235,P68032
P19404,Q9BX68
O14561,P17023
Q99460,Q13561
P63208,P61081
Q15843,P13010
P04150,Q6DRA6
Q9NY93,Q9NV06
O15400,Q8NFX7
Q9Y512,Q9H6K4
Q9ULZ3,Q9NX36
Q04917,Q9NSC5
P50570,Q13573
Q8NFZ5,P35998
Q9Y639,Q9UIA9
P0CG37,O14657
P54578,Q53HC0
Q9NRS4,P23634
Q01628,Q9BXB5
P04629,O43175
P02649,Q13423
Q9BXM7,P42766
P63165,P46013
P15153,P62937
Q13485,O00444
P62491,P05198
P25490,P17544
P61313,P38919
O75955,Q86VW2
Q93008,P51812
P11279,P07947
Q8WUM4,P33527
Q9NRM7,O96017
Q99848,P10075
Q12952,P54253
P42126,P51151
Q15717,Q15648
O15075,Q15654
P99999,P02750
Q15349,Q9NNW5
Q02539,Q9NVQ4
Q9NZB2,Q9NPE2
Q14254,Q96DA6
P41002,Q8IYS1
Q99873,O00267
P35222,Q14526
Q14197,O43674
Q9UL33,P0DI81
Q15276,Q14BN4
O43255,P43146
P49427,P62820
P27708,P19387
P60371,P82987
Q9Y282,Q5BJH2
P54253,Q04727
P49257,Q92953
P26641,P51784
Q5T8D3,Q8NC06
P24941,P28749
Q8NE01,Q86X19
P27487,Q9H2K8
Q9Y4J8,Q13884
Q01469,Q9NPG3
Q13200,Q9UNZ2
O75306,Q9Y5T4
Q9NRD1,O75251
P25490,P17275
O60508,Q15796
Q7Z406,Q6N021
